quote,text,tweet_type,date
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~| #EricGarner",original,2014-12-05 19:43:33+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have."" ~James Baldwin~ || #StandUp #PoliceThePolice #BlackLivesMatter",original,2015-03-28 02:29:36+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ | #Ferguson",original,2014-10-27 17:34:17+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-11-13 22:44:46+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-11-18 09:07:11+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-11-02 16:35:33+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-11-12 05:38:56+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-11-18 11:37:00+00:00
ignorance allied with power,"""Ignorance allied with power, is the most ferocious enemy justice can have."" - James Baldwin. #BlackLivesMatter #Ferguson",original,2014-11-25 16:35:40+00:00
ignorance allied with power,"“ignorance, allied with power, is the most ferocious enemy justice can have"" #JamesBaldwin #BlackLivesMatter",original,2014-11-25 15:43:30+00:00
ignorance allied with power,"""@Carrie_Rachel: ""Ignorance, allied with power, is the most ferocious enemy justice can have""-James Baldwin. #FergusonDecision "" #Ferguson",original,2014-11-25 02:38:15+00:00
ignorance allied with power,"RT Fried_Kimchi: RT fqxjv: James Baldwin is still reporting from #Ferguson, Staten Island & #Ayotzinapa http://t.co/6X1TXz7u8H",original,2014-12-06 16:50:42+00:00
ignorance allied with power,"""Ignorance aligned with power is the most ferocious enemy justice can have"" James Baldwin #blacklivesmatter http://t.co/mlRVLYRkfJ",original,2014-12-04 21:24:11+00:00
ignorance allied with power,James Baldwin: “Ignorance allied with power is the most ferocious enemy of justice.” http://t.co/NARdCbd00l via @baltimoresun #FreddieGray,original,2015-04-26 13:27:45+00:00
ignorance allied with power,"RT mikashaye: RT fqxjv: James Baldwin is still reporting from #Ferguson, Staten Island & #Ayotzinapa http://t.co/6X1TXz7u8H",original,2014-12-06 16:50:41+00:00
ignorance allied with power,"RT MellingBarbara: RT fqxjv: James Baldwin is still reporting from #Ferguson, Staten Island & #Ayotzinapa http://t.co/6X1TXz7u8H",original,2014-12-07 06:15:08+00:00
ignorance allied with power,"James Baldwin is still reporting from #Ferguson, Staten Island & #Ayotzinapa http://t.co/XaRrHjgOS3",original,2014-12-06 16:21:19+00:00
ignorance allied with power,#JamesBaldwin on #Justice #BlackLivesMatter http://t.co/a8Vst9TFLq,original,2015-01-31 07:42:51+00:00
ignorance allied with power,#JamesBaldwin  on #Justice    #BlacklivesMatter   #MoralMonday http://t.co/zVHfIJ4WeI,original,2015-02-02 05:34:10+00:00
ignorance allied with power,#JamesBaldwin on #Justice #BlackLivesMatter #MoralMonday http://t.co/WAVF3VhnRr,original,2015-01-31 17:47:23+00:00
impossible is the least,"I know that what I'm asking is impossible. But in our time, the impossible is the least that one can demand #JamesBaldwin #Ferguson",original,2014-08-20 20:44:51+00:00
in order to survive this,-James Baldwin  #blackandproud #myblackisbeautiful #blacklivesmatter https://t.co/q5tPGKwWdH,original,2015-05-06 13:14:47+00:00
indifference makes one blind,“Neither love nor terror makes one blind: indifference makes one blind.” ― James Baldwin #ferguson #JusticeForMikeBrown,original,2014-08-19 13:20:20+00:00
injustice as commonplace,"We ""must never... accept these injustices as commonplace."" James Baldwin and #Ferguson via @LailaLalami and @npratc http://t.co/y9DP1e0hIb",original,2014-08-21 16:59:12+00:00
invite their own destruction,"""People who shut their eyes to reality invite their own destruction...""- James Baldwin #EricGarner #ShutItDown",original,2014-12-04 06:35:21+00:00
invite their own destruction,People who shut their eyes to reality simply invite their own destruction. James Baldwin #Ferguson,original,2014-08-18 05:02:40+00:00
invite their own destruction,"""People who shut their eyes to reality simply invite their own destruction"" James Baldwin via @tejucole http://t.co/nvEPHIQKJG #Ferguson",original,2014-08-21 04:43:59+00:00
killing me should prove to be an error,"James Baldwin -1968 In light of Eric Garner's death. Yep, things haven't changed much :( http://t.co/YvDBwCFb4Q",original,2014-07-23 21:31:54+00:00
labor and sport,".#BlackLivesMatter ""They needed us for labor and for sport and now they can't get rid of us.""~ James Baldwin, UC Berkeley, 1979.",original,2015-03-20 00:18:36+00:00
